== Eval B1 embedding-matching tren data\golden\feedback_gold.csv (nguong high=0.5 low=0.5)
  accuracy strict 5-nhan (lich su): 83/192 = 43.2%

-- (i) Chat luong phan loai khi model TRA LOI (gold co nhan that, khong abstain): 69/119 = 58.0%
  label            prec  recall     f1  support  predicted
  bug              0.91    0.45   0.60       47         23
  new_feature      0.56    0.63   0.59       38         43
  praise           0.84    0.84   0.84       19         19
  complain         0.24    0.53   0.33       15         34

  confusion 4x4 (hang=gold, cot=pred):
                        bug  new_featu     praise   complain
  bug                    21         14          2         10
  new_feature             0         24          1         13
  praise                  0          0         16          3
  complain                2          5          0          8

  abstention: gold_unclassified=29 | chan dung (caught)=14 | gan nhan nham (false_accept)=15 | bo phieu trang oan (false_abstain)=44
    fb_0038 | bug -> new_feature | 0.57 | không dịch hết tiếng Anh trong văn bản, output ra bị lỗi fon
    fb_0040 | new_feature -> complain | 0.52 | Mình ấn re-generate với mong muốn tạo ra slide đẹp hơn, nhưn
    fb_0041 | new_feature -> unclassified | 0.39 | Ko đưa dữ liệu bằng excel và hình ảnh được
    fb_0042 | bug -> praise | 0.71 | không ra được kết quả
    fb_0044 | new_feature -> unclassified | 0.47 | Nên thêm mục các từ ngữ chuyên ngành hay dịch sai để người d
    fb_0045 | new_feature -> unclassified | 0.39 | Cho phép share. Các chat với nhiều người, nhất là brainstorm
    fb_0046 | new_feature -> unclassified | 0.36 | Để tạo slide về action plan bao gồm action, timeline & PIC t
    fb_0047 | new_feature -> unclassified | 0.48 | Có nút sao chép để sao chép nhanh kết quả Tài trả ra
    fb_0049 | bug -> complain | 0.66 | Làm slide không dùng đc ạ
    fb_0051 | bug -> unclassified | 0.42 | Tài không chỉ dịch được khoảng 10% văn bản up lên, còn lại t
    fb_0052 | praise -> unclassified | 0.48 | tuyệt vời. Tài chat xử lý nhanh và hỗ trợ phân tích, so sánh
    fb_0053 | praise -> complain | 0.52 | Hỗ trợ xử lý nhanh việc lên ý tưởng cho 1 bài thuyết trình
    fb_0055 | new_feature -> complain | 0.52 | Nên có 1 dòng để user mô tả các thông tin cần tóm tắt thay v
    fb_0058 | bug -> complain | 0.54 | có một số trang slide không dịch mà để nguyên chữ tiếng anh
    fb_0059 | new_feature -> complain | 0.60 | I don't see my past ppt presentation here
    fb_0061 | new_feature -> complain | 0.55 | I want to save the progress of slides that I am creating
    fb_0062 | unclassified -> complain | 0.54 | Đang viết quá ngắn gọn, mỗi tình huống cần để 1 slide riêng.
    fb_0070 | new_feature -> unclassified | 0.47 | Dự án có thể bổ sung cho phép input mô hình ảnh, sau đó chỉn
    fb_0072 | bug -> new_feature | 0.54 | Tài slide vừa gen xong, nhưng không thể edit file được
    fb_0073 | bug -> new_feature | 0.59 | Lỗi font chữ tiếng việt, nên có lựa chọn font chữ, hoặc font
    fb_0075 | new_feature -> unclassified | 0.49 | Báo lỗi Filename contains disallowed characters or patterns 
    fb_0079 | new_feature -> unclassified | 0.47 | dề xuất cho nhiều hơn 4000 ký tự để yêu cầu chi tiết hơn. bê
    fb_0081 | new_feature -> complain | 0.57 | tôi nghĩ cần đưa thêm hình ảnh tượng trưng thì slide sẽ đẹp 
    fb_0084 | new_feature -> unclassified | 0.48 | Thêm ảnh tham chiếu (reference) giống Figma Wave được không 
    fb_0088 | bug -> complain | 0.55 | Bản dịch bị lỗi font từ trang 3
    fb_0093 | new_feature -> complain | 0.51 | ở mục slide bên trái tạo thêm nút xóa slide sau khi thấy thừ
    fb_0096 | bug -> new_feature | 0.64 | nút generate outline không hoạt đông
    fb_0098 | unclassified -> complain | 0.56 | Còn thiếu nhiều nội dung quá> Hãy bổ sung cho đầu đủ. Giới h
    fb_0103 | bug -> new_feature | 0.60 | Export ra file pptx bị vỡ font chữ, không đẹp như preview
    fb_0105 | unclassified -> complain | 0.54 | hãy tạo slide theo mẫu trình bày của TCB
    fb_0108 | complain -> new_feature | 0.57 | Xmind user không có thì không dùng được mục này
    fb_0109 | bug -> new_feature | 0.55 | Dịch file gồm cả bảng biểu có thể bị lỗi và báo network erro
    fb_0110 | bug -> complain | 0.68 | Font chữ của slide bị lỗi
    fb_0111 | bug -> new_feature | 0.51 | LLM: LLM: structured output failed: No JSON found after all 
    fb_0112 | new_feature -> unclassified | 0.47 | Cần xuất chart dạng định dạng chart trong pptx, hiện tại Tài
    fb_0113 | bug -> unclassified | 0.48 | Chưa muốn kết thúc luồng brainstorm nhưng session đã complet
    fb_0114 | new_feature -> complain | 0.70 | Nội dung tóm tắt quá ngắn > có thể bổ sung thêm phần input s
    fb_0117 | complain -> bug | 0.63 | tài liệu chưa trả ra được dưới dạng onepage như tôi yêu cầu
    fb_0118 | unclassified -> new_feature | 0.64 | tài file dịch về sao
    fb_0119 | unclassified -> complain | 0.55 | I want to consolidate slide 2 and 3 into 1 slide only
    fb_0121 | unclassified -> praise | 0.57 | uew
    fb_0124 | bug -> unclassified | 0.47 | Màn hình khi đưa yêu cầu edit rất khó sử dụng, button send f
    fb_0125 | new_feature -> unclassified | 0.49 | The powerpoint-er cần bổ sung năng lực tiếp nhận ý kiến phản
    fb_0127 | bug -> complain | 0.50 | tôi muốn dịch cả văn bản, mà Tài chỉ dịch cho tôi mỗi tiêu đ
    fb_0129 | bug -> unclassified | 0.46 | Tại sao bàn dịch ra tiếng Việt vẫm là tiếng anh
    fb_0131 | unclassified -> complain | 0.55 | làm sao tôi biết được bạn đang dịch đúng
    fb_0134 | new_feature -> complain | 0.58 | I have lot of charts and visualize want to input into the sl
    fb_0137 | new_feature -> praise | 0.56 | Cho phép thao tác paste ảnh nội dung cần thiết kế slide để t
    fb_0139 | new_feature -> unclassified | 0.41 | ko cung cấp dưới dạng bảng được
    fb_0140 | bug -> unclassified | 0.42 | trường hợp typing nhiều dòng trong ô chat thì không thể lăn 
    fb_0141 | new_feature -> unclassified | 0.48 | anh/ chị cho thêm tính năng gửi hình ảnh để trao đổi thông t
    fb_0142 | bug -> new_feature | 0.58 | Vẫn có trang chưa được dịch
    fb_0143 | new_feature -> complain | 0.56 | It's should be more picture about techcombank on all slide
    fb_0144 | bug -> unclassified | 0.33 | KHi dịch từ tiếng Anh sang tiếng Việt, có những từ không phả
    fb_0145 | new_feature -> complain | 0.65 | an interactive loop of Human feedback and agent fix. Ngoài r
    fb_0146 | new_feature -> unclassified | 0.47 | Có thể kết hợp powerpointer với translator được không?
    fb_0148 | bug -> unclassified | 0.40 | why it was blocked by guardrail????guardrail blocked (input)
    fb_0149 | bug -> unclassified | 0.42 | hiện tại đang ko dịch được.
    fb_0150 | unclassified -> praise | 0.51 | Em có feedback như sau ạ …
    fb_0151 | praise -> complain | 0.52 | Ưu điểm: Có chuẩn bị script cho speaker; Slide thiết kế đẹp,
    fb_0152 | new_feature -> unclassified | 0.47 | Chữ và icon trên màn hình quá nhỏ các sếp ơi
    fb_0153 | new_feature -> unclassified | 0.41 | Agent chưa lưu lịch sử các lần trò chuyện trước.
    fb_0154 | bug -> new_feature | 0.61 | Upload file docx, trong file có capture hình ảnh chưa thông 
    fb_0155 | complain -> new_feature | 0.55 | font chữ hơi xấu
    fb_0157 | bug -> complain | 0.51 | The Summarizer: Chuyển từ tiếng Anh sáng Việt ok nhưng sau đ
    fb_0161 | unclassified -> new_feature | 0.53 | Tôi gửi 1 file ppt, trong đó có phần ảnh (báo cáo export từ 
    fb_0163 | bug -> unclassified | 0.47 | Lỗi translate khi có câu "Share some of the design patterns 
    fb_0164 | praise -> complain | 0.54 | Slide đẹp hơn Kiro
    fb_0165 | bug -> new_feature | 0.52 | khi đi đến bước xem Outline mà chưa ưng ý, muốn quay lại bướ
    fb_0166 | bug -> complain | 0.55 | cái summarizer này đang bịa ra MIK mà trong khi ko có MIK mà
    fb_0167 | bug -> complain | 0.51 | đã dịch xong văn bản đầu, mới có 2 tragn thôi
    fb_0169 | unclassified -> new_feature | 0.59 | SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy 
    fb_0170 | unclassified -> new_feature | 0.59 | SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy 
    fb_0171 | new_feature -> unclassified | 0.33 | các thông tin như chức danh, bộ phận nên được chuẩn hóa theo
    fb_0173 | bug -> unclassified | 0.50 | The guardrail seems to trigger quite late. Chat was showing 
    fb_0174 | unclassified -> praise | 0.54 | Test feedback
    fb_0175 | bug -> new_feature | 0.58 | received a failed to parse the file error when uploading a P
    fb_0176 | bug -> unclassified | 0.47 | @ box doesnt contain and resize
    fb_0177 | complain -> new_feature | 0.59 | Không có dữ liệu chuẩn
    fb_0178 | complain -> new_feature | 0.58 | Need to improve pdf translation
    fb_0179 | complain -> new_feature | 0.61 | Dữ liệu outdate
    fb_0181 | bug -> unclassified | 0.27 | Ko mở đc Graphics designer.
    fb_0182 | unclassified -> new_feature | 0.65 | Agent này nên bổ sugn tính năng sau:…
    fb_0183 | unclassified -> praise | 0.60 | No
    fb_0186 | unclassified -> praise | 0.61 | 1
    fb_0188 | new_feature -> unclassified | 0.49 | Đang dùng format slide cũ TCB 30 năm ( nên cập nhật theme mớ
