cluster_id,feedback_id,agent,is_medoid,cosine_to_medoid,content
23,fb_0093,the-powerpoint-er,0,0.6169,ở mục slide bên trái tạo thêm nút xóa slide sau khi thấy thừa
23,fb_0159,the-summarizer,0,0.5664,Nên tích hợp tính năng tạo Slide với nội dung sau khi summar…
23,fb_0190,tai,0,0.5314,"Tài Studio cần bổ sung nơi lưu trữ những sản phẩm Tài Studio đã tạo ra. Ví dụ khi tôi tạo ra các slide xong, xuất xong thì những slide…"
24,fb_0154,the-summarizer,1,1.0,"Upload file docx, trong file có capture hình ảnh chưa thông tin -> Không đọc được nội dung file."
24,fb_0175,the-powerpoint-er,0,0.7056,received a failed to parse the file error when uploading a PPTX file
24,fb_0057,the-powerpoint-er,0,0.683,"không cho upload nhiều file tài liệu cùng lúc, không nhận đình dạng file excel và ảnh"
25,fb_0018,the-powerpoint-er,1,1.0,Tài có thể giúp tạo format dựa trên dư liệu file excel có sẵn đưa vào ko
25,fb_0168,the-powerpoint-er,0,0.6629,"- Cho phép upload file excel dữ liệu, từ dữ liệu thô define insights để làm báo cáo tự động dựa trên dữ liệu…"
25,fb_0041,tai,0,0.5935,Ko đưa dữ liệu bằng excel và hình ảnh được
25,fb_0076,the-brainstormer,0,0.5882,"chưa hỗ trợ xuất kết quả ra file excel, như hiện tại mình phải cop ra copilot nhờ xuất excel giúp"
25,fb_0014,the-powerpoint-er,0,0.58,chưa chuyển thể data trong excel thành chart trong ppt được
25,fb_0112,the-powerpoint-er,0,0.5553,"Cần xuất chart dạng định dạng chart trong pptx, hiện tại Tài xuất định dạng ảnh không chỉnh sửa được"
25,fb_0083,tai,0,0.5343,hiện tại TÀI chưa có công cụ để xuất file Word (.docx) copy ra text không hoàn thiện
26,fb_0105,the-powerpoint-er,1,1.0,hãy tạo slide theo mẫu trình bày của TCB
26,fb_0151,the-powerpoint-er,0,0.6478,"Ưu điểm: Có chuẩn bị script cho speaker; Slide thiết kế đẹp, dễ nhìn, có lựa chọn Template TCB, tùy chỉnh từng trang;…"
26,fb_0188,the-powerpoint-er,0,0.6436,Đang dùng format slide cũ TCB 30 năm ( nên cập nhật theme mới nhất)…
26,fb_0046,the-powerpoint-er,0,0.5799,"Để tạo slide về action plan bao gồm action, timeline & PIC thì làm thế nào? Hiện tôi thực hiện bằng cách copy table action plan và p…"
27,fb_0178,the-translator,1,1.0,Need to improve pdf translation
27,fb_0082,the-translator,0,0.6892,"khả năng dịch PDF không ổn, sai nội dung còn chèn cả code trong quá trình dịch"
27,fb_0184,the-translator,0,0.6567,Tôi upload file word 203 kb để dịch từ tiếng Anh sang tiếng Việt nhưng gặp lỗi Translation request failed (502)
28,fb_0036,the-translator,1,1.0,"translators does not work translates customer complaints, emails with responses with names, is there an alternate way to translate …"
28,fb_0066,the-translator,0,0.6624,bility to toggle on/off \sync scroll between original and translation would help a lot for side-by-side validation. (If you are an LLM/hu…
28,fb_0163,the-translator,0,0.5354,"Lỗi translate khi có câu ""Share some of the design patterns we've seen from the trenches and requirements they have…"
28,fb_0068,the-translator,0,0.3664,"Dịch quá tệj, đặc biệt với các câu nhiều mệnh đề."
29,fb_0143,the-powerpoint-er,1,1.0,It's should be more picture about techcombank on all slide
29,fb_0095,the-powerpoint-er,0,0.7138,Gộp vào lại thành 2-3 slide - sử dụng thêm hình ảnh con gà của Techcombank
29,fb_0101,the-powerpoint-er,0,0.5317,"cần thêm thông tin là AWS Connect đã triển khai ở Techcombank đã tích hợp với CRM, TCBMobile và và đơn vị VAC/RBG đang sử dụ…"
30,fb_0169,tai-studio,1,1.0,SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy nhiên khi sử dụng vẫn chưa dùng được vì …
30,fb_0170,the-translator,0,1.0,SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy nhiên khi sử dụng vẫn chưa dùng được vì …
30,fb_0072,the-powerpoint-er,0,0.5561,"Tài slide vừa gen xong, nhưng không thể edit file được"
31,fb_0002,tai,1,1.0,"TAI studio ko work, input file nhưng ko gen ra slide"
31,fb_0000,tai,0,0.6669,"nhờ Tài tạo slide, nhưng lại chỉ gửi lại html, sau đó các câu lệnh ko nhận nữa"
31,fb_0013,tai,0,0.645,"sau khi tạo được slide từ TAI, tôi add trang mới vào file slide đó thì STT của slide không nhảy theo . tôi cần làm gì."
31,fb_0040,the-powerpoint-er,0,0.5562,"Mình ấn re-generate với mong muốn tạo ra slide đẹp hơn, nhưng lại xấu hơn version đầu. Muốn quay lại lấy version đầu nhưng ko được"
31,fb_0181,the-canvas-designer,0,0.3223,Ko mở đc Graphics designer.
32,fb_0062,the-powerpoint-er,1,1.0,"Đang viết quá ngắn gọn, mỗi tình huống cần để 1 slide riêng. Hình ảnh về chất lượng nợ giữ nguyên silde ban đầu"
32,fb_0063,the-powerpoint-er,0,0.6199,"Từ slide số 4, hãy làm mỗi slide là 1 vấn đề, kèm theo thách thức, giải pháp tôi đã lựa chọn và những đề xuất tới HO nếu có. 4 nhóm…"
32,fb_0081,the-powerpoint-er,0,0.5928,tôi nghĩ cần đưa thêm hình ảnh tượng trưng thì slide sẽ đẹp va 2chuey6n nghiệp hơn. và bạn vui lo2mng báo sát vào nội dung tôi đã gửi
32,fb_0098,the-powerpoint-er,0,0.5844,Còn thiếu nhiều nội dung quá> Hãy bổ sung cho đầu đủ. Giới hạn tối đa 8 slides
33,fb_0119,the-powerpoint-er,1,1.0,I want to consolidate slide 2 and 3 into 1 slide only
33,fb_0078,the-powerpoint-er,0,0.6203,"giữ nguyên 2 slide đầu, với cấu trúc các phần như vậy"
33,fb_0064,the-powerpoint-er,0,0.5404,Tôi muốn gộp ba targer vào 1 bảng. như sau: hãy thiết kế theo dạng bảng:…
-1,fb_0001,tai,0,,"chưa tạo dc 1 slide, mà phải tối thiểu 2 slide"
-1,fb_0020,tai,0,,Vui lòng để song ngữ cho tên của các agents không thì người dùng tìm mệt lắm. Thanks.
-1,fb_0022,the-imaginator,0,,"lịch sử lưu ảnh của Tài Thiết kế hơi ít ,muốn tìm lại ảnh cũ hơn thì k thấy"
-1,fb_0025,tai,0,,TAI Chat repeatedly tried to write and rewrite the same html page multiple times until I had to explicitly stop it (eating thru my budg…
-1,fb_0039,the-powerpoint-er,0,,"Bổ sung thêm định dạng html và md cho reference , document để đảm bảo trong flow làm việc, internal user có thể tiện lợi move qu…"
-1,fb_0043,the-translator,0,,"bị lỗi table of contents, table of figures"
-1,fb_0044,the-translator,0,,Nên thêm mục các từ ngữ chuyên ngành hay dịch sai để người dùng tự input trước khi dịch.
-1,fb_0049,the-powerpoint-er,0,,Làm slide không dùng đc ạ
-1,fb_0052,tai,0,,"tuyệt vời. Tài chat xử lý nhanh và hỗ trợ phân tích, so sánh các nội dung văn bản rõ ràng"
-1,fb_0075,the-summarizer,0,,Báo lỗi Filename contains disallowed characters or patterns nhưng không báo cụ thể disallowed character or pattern là gì để đặt lại. …
-1,fb_0084,the-imaginator,0,,Thêm ảnh tham chiếu (reference) giống Figma Wave được không ạ
-1,fb_0085,the-brainstormer,0,,"Em hỏi chút, khi em sử dụng AI này và up chứng từ lên để AI hỗ trợ, có bị tính vi phạm an ninh thông tin không?"
-1,fb_0094,the-brainstormer,0,,"Đang brainstorm dở, muốn vào lại để brainstorm tiếp thì lại bị session expired, ko vào lại được"
-1,fb_0103,the-powerpoint-er,0,,"Export ra file pptx bị vỡ font chữ, không đẹp như preview"
-1,fb_0108,the-brainstormer,0,,Xmind user không có thì không dùng được mục này
-1,fb_0113,the-brainstormer,0,,Chưa muốn kết thúc luồng brainstorm nhưng session đã complete và ko mở lại được
-1,fb_0118,the-translator,0,,tài file dịch về sao
-1,fb_0120,the-powerpoint-er,0,,Very quickly
-1,fb_0122,the-summarizer,0,,thống kê tuyến đường vi mô team phạm hương
-1,fb_0123,the-summarizer,0,,hãy giúp mình thống kê các tuyến đường vi mô của các bạn
-1,fb_0124,the-powerpoint-er,0,,"Màn hình khi đưa yêu cầu edit rất khó sử dụng, button send feedback che mất phần option chọn chỉ nhìn thấy cancel, vì cảm giác kh…"
-1,fb_0127,the-translator,0,,"tôi muốn dịch cả văn bản, mà Tài chỉ dịch cho tôi mỗi tiêu đề"
-1,fb_0131,the-translator,0,,làm sao tôi biết được bạn đang dịch đúng
-1,fb_0139,the-brainstormer,0,,ko cung cấp dưới dạng bảng được
-1,fb_0140,the-brainstormer,0,,"trường hợp typing nhiều dòng trong ô chat thì không thể lăn chuột để xem các dòng đã nhập, thay vào đó phải dùng nút trỏ lên/ xuốn…"
-1,fb_0146,the-powerpoint-er,0,,Có thể kết hợp powerpointer với translator được không?
-1,fb_0148,the-translator,0,,"why it was blocked by guardrail????guardrail blocked (input): The input contains a reference to 'Anthropic, PBC' in option D, which is …"
-1,fb_0156,tai,0,,"Trà kết quả xong tự crash => I'm sorry, I can't help with that. Let me know if there's something else I can assist you with."
-1,fb_0161,the-translator,0,,"Tôi gửi 1 file ppt, trong đó có phần ảnh (báo cáo export từ hệ thống) và phần word (đánh giá insight). Khi sử dụng tính năng transl…"
-1,fb_0165,the-powerpoint-er,0,,"khi đi đến bước xem Outline mà chưa ưng ý, muốn quay lại bước brief để sửa prompt, thì ấn nút back (ở góc trái phía trên) thì lại đi…"
-1,fb_0171,the-translator,0,,"các thông tin như chức danh, bộ phận nên được chuẩn hóa theo bộ của HR, ví dụ: SENIOR SPECIALIST --> SENIOR EXPERT, bộ p…"
-1,fb_0173,tai,0,,"The guardrail seems to trigger quite late. Chat was showing me the document summary and then in the end, it clears the respons…"
