== Eval B1 embedding-matching tren data\golden\feedback_gold.csv (nguong high=0.6 low=0.45)
  accuracy: 81/192 = 42.2%

  label            prec  recall     f1  support  predicted
  bug              0.64    0.29   0.40       62         28
  new_feature      0.86    0.29   0.44       65         22
  praise           0.64    0.80   0.71       20         25
  complain         0.20    0.75   0.32       16         60
  unclassified     0.28    0.55   0.37       29         57

  phan bo 3 vung: ok=34  low_confidence=101  unclassified=57

  confusion (hang=gold, cot=pred):
                        bug  new_featu     praise   complain  unclassif
  bug                    18          2          0         28         14
  new_feature             4         19          6         11         25
  praise                  0          0         16          3          1
  complain                1          0          2         12          1
  unclassified            5          1          1          6         16

  sai 111 dong (id | gold -> pred | conf | content):
    fb_0166 | bug -> unclassified | 0.42 | cái summarizer này đang bịa ra MIK mà trong khi ko có MIK mà
    fb_0167 | bug -> unclassified | 0.45 | đã dịch xong văn bản đầu, mới có 2 tragn thôi
    fb_0169 | unclassified -> bug | 0.45 | SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy 
    fb_0170 | unclassified -> bug | 0.45 | SP rất đỉnh. có thể chuyển thể nguyên file cực hữu ích. Tuy 
    fb_0171 | new_feature -> unclassified | 0.27 | các thông tin như chức danh, bộ phận nên được chuẩn hóa theo
    fb_0172 | praise -> complain | 0.51 | xịnnnn
    fb_0173 | bug -> complain | 0.55 | The guardrail seems to trigger quite late. Chat was showing 
    fb_0174 | unclassified -> complain | 0.58 | Test feedback
    fb_0175 | bug -> new_feature | 0.58 | received a failed to parse the file error when uploading a P
    fb_0176 | bug -> unclassified | 0.41 | @ box doesnt contain and resize
    fb_0178 | complain -> praise | 0.50 | Need to improve pdf translation
    fb_0180 | praise -> complain | 0.55 | Cool
    fb_0181 | bug -> unclassified | 0.24 | Ko mở đc Graphics designer.
    fb_0182 | unclassified -> new_feature | 0.65 | Agent này nên bổ sugn tính năng sau:…
    fb_0183 | unclassified -> complain | 0.70 | No
    fb_0185 | bug -> complain | 0.61 | coundn't acess
    fb_0186 | unclassified -> complain | 0.68 | 1
    fb_0188 | new_feature -> unclassified | 0.38 | Đang dùng format slide cũ TCB 30 năm ( nên cập nhật theme mớ
    fb_0189 | new_feature -> praise | 0.57 | I need to summary in to 10 pages of word for example, please
    fb_0190 | new_feature -> unclassified | 0.38 | Tài Studio cần bổ sung nơi lưu trữ những sản phẩm Tài Studio
    fb_0191 | bug -> complain | 0.58 | lỗi truy cập k vào đc
