id,content,agent,orig_category,intent,rationale,source
fb_0131,làm sao tôi biết được bạn đang dịch đúng,the-translator,idea,how_to,hỏi làm sao biết bản dịch đúng,real
fb_0146,Có thể kết hợp powerpointer với translator được không?,the-powerpoint-er,praise,how_to,hỏi có thể kết hợp powerpointer với translator không,real
fb_0032,"Bạn ơi, có giao diện tiếng việt không ạ ?",tai,idea,how_to,hỏi có giao diện tiếng Việt không (availability),real
fb_0024,"Dear anh chị, owner của agent review lại hướng dẫn sử dụng, user đọc hướng dẫn nhưng chưa rõ phải thao tác như thế nào. Ví dụ t…",the-whiteboarder,other,how_to,user đọc hướng dẫn nhưng chưa rõ thao tác thế nào,real
fb_0019,Very good,the-scholar,praise,praise,'Very good',real
fb_0027,this is amazing,tai,idea,praise,'this is amazing',real
fb_0052,"tuyệt vời. Tài chat xử lý nhanh và hỗ trợ phân tích, so sánh các nội dung văn bản rõ ràng",tai,praise,praise,"khen xử lý nhanh, phân tích rõ ràng",real
fb_0053,Hỗ trợ xử lý nhanh việc lên ý tưởng cho 1 bài thuyết trình,the-powerpoint-er,praise,praise,khen hỗ trợ lên ý tưởng nhanh,real
fb_0087,tuyệt vời,the-powerpoint-er,praise,praise,'tuyệt vời',real
fb_0102,Lần đầu dùng thử và rất ưng cái bụng. Cảm ơn!!!,the-powerpoint-er,praise,praise,'rất ưng cái bụng. Cảm ơn',real
fb_0104,"tuyệt vời, <3 10 điểm",the-powerpoint-er,praise,praise,"'tuyệt vời, 10 điểm'",real
fb_0128,loved,the-powerpoint-er,praise,praise,'loved',real
fb_0135,tks so much . its helpful,the-powerpoint-er,praise,praise,"'tks so much, its helpful'",real
fb_0162,thật sự hữu ích,tai,praise,praise,'thật sự hữu ích',real
fb_0164,Slide đẹp hơn Kiro,the-powerpoint-er,praise,praise,'Slide đẹp hơn Kiro',real
fb_0172,xịnnnn,the-powerpoint-er,praise,praise,'xịnnnn',real
fb_0187,Very good result,the-translator,idea,praise,'Very good result',real
fb_0005,K trả lời nội dung nào khi hỏi,tai,bug,complaint,không trả lời nội dung khi hỏi,real
fb_0009,lỗi,tai,bug,complaint,'lỗi',real
fb_0030,càng làm càng xấu,the-powerpoint-er,bug,complaint,'càng làm càng xấu',real
fb_0035,Nút copy không hoạt động,the-brainstormer,bug,complaint,nút copy không hoạt động,real
fb_0038,"không dịch hết tiếng Anh trong văn bản, output ra bị lỗi font",the-translator,bug,complaint,"không dịch hết, output lỗi font",real
fb_0060,"Đã upload file nhưng k dịch đc, liên tục báo interrupt",the-translator,bug,complaint,"upload nhưng không dịch được, liên tục báo interrupt",real
fb_0068,"Dịch quá tệj, đặc biệt với các câu nhiều mệnh đề.",the-translator,bug,complaint,'Dịch quá tệ' với câu nhiều mệnh đề,real
fb_0089,lỗi liên tục,the-powerpoint-er,bug,complaint,'lỗi liên tục',real
fb_0096,nút generate outline không hoạt đông,the-powerpoint-er,bug,complaint,nút generate outline không hoạt động,real
fb_0110,Font chữ của slide bị lỗi,the-powerpoint-er,bug,complaint,font chữ slide bị lỗi,real
fb_0116,"Hệ thống không dịch được file, chỉ chạy được 1 lúc rồi báo network error",the-translator,bug,complaint,"không dịch được file, báo network error",real
fb_0149,hiện tại đang ko dịch được.,the-translator,bug,complaint,'hiện tại đang ko dịch được',real
fb_0156,"Trà kết quả xong tự crash => I'm sorry, I can't help with that. Let me know if there's something else I can assist you with.",tai,bug,complaint,trả kết quả xong tự crash,real
fb_0166,cái summarizer này đang bịa ra MIK mà trong khi ko có MIK mà là Masterise,the-summarizer,bug,complaint,summarizer bịa nội dung (MIK vs Masterise),real
fb_0185,coundn't acess,the-brainstormer,bug,complaint,'coundn't acess',real
fb_0191,lỗi truy cập k vào đc,the-powerpoint-er,bug,complaint,'lỗi truy cập k vào đc',real
fb_0121,uew,the-powerpoint-er,other,unclassified,'uew' — vô nghĩa,real
fb_0174,Test feedback,tai,bug,unclassified,'Test feedback' — dữ liệu test,real
fb_0183,No,the-powerpoint-er,idea,unclassified,'No' — không đủ ngữ cảnh,real
fb_0186,1,the-powerpoint-er,idea,unclassified,'1' — vô nghĩa,real
fb_0120,Very quickly,the-powerpoint-er,idea,unclassified,"'Very quickly' — mơ hồ, thiếu ngữ cảnh",real
fb_0118,tài file dịch về sao,the-translator,idea,unclassified,'tài file dịch về sao' — câu tối nghĩa,real
craft_00,Tài ơi đọc email của tôi bằng cách nào,tai,,how_to,câu hỏi cách dùng — đọc email (O365),crafted
craft_01,mình muốn vẽ diagram từ ảnh có sẵn thì làm sao nhỉ,the-whiteboarder,,how_to,câu hỏi cách dùng — vẽ diagram từ ảnh,crafted
craft_02,xuất slide ra file pptx kiểu gì vậy,the-powerpoint-er,,how_to,câu hỏi cách dùng — export pptx,crafted
