id,agent,label,content,solved,match_type,referenced,rationale
fb_0031,the-translator,bug,Vẫn còn 1 đoạn nội dung tiếng Việt (không phải từ chuyên môn) chưa dịch,False,none,,"Doan van bi bo sot khong phai thuat ngu chuyen nganh, doc khong giai thich."
fb_0032,tai,new_feature,"Bạn ơi, có giao diện tiếng việt không ạ ?",True,how_to,"| Language follows your prompt | The EN/VI toggle changes UI only, not response language |",GenUI Limitations xác nhận có toggle EN/VI cho giao diện ⇒ 'có giao diện tiếng Việt không?' = có ⇒ True.
fb_0033,the-ai-coach,bug,"Tôi yêu cầu đưa ra câu trả lời MOM thì có câu trả lời sau đó biến mất sau 1-2phut - hiện thị nội dung: 'I'm sorry, i can't help with that",False,limitation,AI Coach only supports content related to AI and technology at Techcombank.,"Doc ghi ro AI Coach chi ho tro noi dung AI/cong nghe, khong co cach lam khac cho yeu cau MOM."
fb_0034,the-translator,bug,Nhiều đoạn không được dịch,False,none,,"Nhieu doan khong duoc dich la loi, doc khong mo ta."
fb_0035,the-brainstormer,bug,Nút copy không hoạt động,False,none,,"Nut copy co trong doc nhung viec no khong hoat dong la loi, khong duoc tai lieu hoa."
fb_0036,the-translator,bug,"translators does not work translates customer complaints, emails with responses with names, is there an alternate way to translate …",False,limitation,⚠️ PII Notice: Do not upload documents containing sensitive personal information.,Doc khuyen cao khong upload tai lieu chua thong tin ca nhan nhay cam va khong neu cach thay the.
fb_0038,the-translator,bug,"không dịch hết tiếng Anh trong văn bản, output ra bị lỗi font",False,none,,"Dich thieu kem loi font la bug, doc khong de cap."
fb_0039,the-powerpoint-er,new_feature,"Bổ sung thêm định dạng html và md cho reference , document để đảm bảo trong flow làm việc, internal user có thể tiện lợi move qu…",False,none,,"Doc chi ho tro export PPTX/PDF, khong de cap html/md va cung khong ghi la han che."
fb_0040,the-powerpoint-er,new_feature,"Mình ấn re-generate với mong muốn tạo ra slide đẹp hơn, nhưng lại xấu hơn version đầu. Muốn quay lại lấy version đầu nhưng ko được",True,how_to,"If changes have been saved but the original output is needed again, click “Regenerate from outline” to restore the initial generated version.",Doc huong dan bam Regenerate from outline de khoi phuc lai ban sinh dau tien.
fb_0041,tai,new_feature,Ko đưa dữ liệu bằng excel và hình ảnh được,False,none,,Doc TAI khong liet ke ho tro excel/hinh anh lam input.
fb_0042,the-summarizer,bug,không ra được kết quả,False,none,,"Khong ra ket qua la loi, doc khong de cap."
fb_0043,the-translator,bug,"bị lỗi table of contents, table of figures",False,none,,Loi table of contents/figures sau khi dich khong duoc doc mo ta.
fb_0044,the-translator,new_feature,Nên thêm mục các từ ngữ chuyên ngành hay dịch sai để người dùng tự input trước khi dịch.,False,limitation,"Domain‑specific terminology (legal, medical, financial) may need human review","Doc chi ghi thuat ngu chuyen nganh can nguoi review, khong co tinh nang tu dien tu nhap."
fb_0045,the-brainstormer,new_feature,"Cho phép share. Các chat với nhiều người, nhất là brainstormer",False,none,,Doc Brainstormer khong co tinh nang share chat nhieu nguoi.
fb_0046,the-powerpoint-er,new_feature,"Để tạo slide về action plan bao gồm action, timeline & PIC thì làm thế nào? Hiện tôi thực hiện bằng cách copy table action plan và p…",False,none,,Doc khong huong dan cu the cach tao slide action plan dang bang action/timeline/PIC.
fb_0047,the-brainstormer,new_feature,Có nút sao chép để sao chép nhanh kết quả Tài trả ra,True,how_to,Copy Output Content: Copies the full response while preserving its Markdown formatting for easy reuse.,Doc da co nut Copy Output Content o goc tren ben phai de sao chep nhanh ket qua.
fb_0049,the-powerpoint-er,bug,Làm slide không dùng đc ạ,False,none,,"Loi khong dung duoc, doc khong de cap."
fb_0050,the-brainstormer,new_feature,"Cần phải bổ sung gấp tính năng cho upload các loại file và ảnh, để giúp làm rõ thông tin nhanh hơn. Ngoài ra cần bổ sung tính năng…",False,limitation,No file upload support — text-based interaction only,"Doc ghi ro khong ho tro upload file, chi tuong tac van ban."
fb_0051,the-translator,bug,"Tài không chỉ dịch được khoảng 10% văn bản up lên, còn lại thì để nguyên",False,limitation,"If a document is too large, it may be truncated — a warning banner will indicate how many characters were translated.","Doc neu tai lieu qua lon co the bi cat bot, nhung khong co cach xu ly de dich het."
fb_0054,the-powerpoint-er,new_feature,"cỡ chữ hơi nhỏ, sử dụng nhiều màu sắc, độ tương phản giữa nền và chữ chưa cao",True,how_to,"The top bar provides quick editing actions, including adjusting font size, text color, formatting, alignment, and adding bullet points to the content.",Doc cho phep chinh co chu va mau chu ngay tren thanh cong cu khi sua slide.
fb_0055,the-summarizer,new_feature,Nên có 1 dòng để user mô tả các thông tin cần tóm tắt thay vì để Agent tự lựa chọn thông tin,False,none,,Doc khong co o nhap huong dan/mo ta noi dung can tom tat.
fb_0057,the-powerpoint-er,new_feature,"không cho upload nhiều file tài liệu cùng lúc, không nhận đình dạng file excel và ảnh",False,none,,Doc khong xac nhan upload nhieu file cung luc va khong liet ke excel/anh.
fb_0058,the-translator,bug,có một số trang slide không dịch mà để nguyên chữ tiếng anh,False,none,,"Mot so trang slide khong duoc dich la loi, doc khong mo ta."
fb_0059,the-powerpoint-er,new_feature,I don't see my past ppt presentation here,True,how_to,"The homepage of PowerPoint-er displays all previously saved presentations, click “Open” to see fully.","Doc noi trang chu Powerpoint-er hien tat ca presentation da luu, bam Open de xem."
fb_0060,the-translator,bug,"Đã upload file nhưng k dịch đc, liên tục báo interrupt",False,none,,"Bao interrupt lien tuc la loi, doc khong de cap."
fb_0061,the-powerpoint-er,new_feature,I want to save the progress of slides that I am creating,False,none,,"A/B bất đồng. Doc chỉ nói presentation đã lưu hiện ở homepage, không mô tả cách lưu tiến độ khi đang tạo ⇒ lưỡng lự ⇒ False (precision-first)."
fb_0066,the-translator,new_feature,bility to toggle on/off \sync scroll between original and translation would help a lot for side-by-side validation. (If you are an LLM/hu…,False,none,,Doc khong co tuy chon bat/tat sync scroll giua ban goc va ban dich.
fb_0069,the-powerpoint-er,new_feature,Dự án bổ sung tính năng TÀI LIỆU THAM KHẢO DƯỚI HÌNH THỨC LÀ một đường link đính kèm (link tài liệu DMS/ hoặc website mà T…,False,none,,"Doc chi cho upload file tham khao, khong de cap dinh kem link DMS/website."
fb_0070,the-imaginator,new_feature,"Dự án có thể bổ sung cho phép input mô hình ảnh, sau đó chỉnh sửa thành hình ảnh mình mong muốn theo đúng mô tả và concept …",True,how_to,"If you want to use an image as a reference, drag the Image Input node from the left panel onto the canvas, upload an image (PNG/JPG, up to 10 MB), then connect it to the Generate node.",Doc huong dan dung node Image Input de dua anh vao lam tham chieu roi sinh anh theo mo ta.
fb_0071,the-translator,new_feature,Nên thêm ngôn ngữ đầu ra là Tiếng Trung. Thêm Source file là dịch hình ảnh ạ.,False,limitation,Two languages are currently supported: Vietnamese and English.,"Doc ghi ro chi ho tro tieng Viet va tieng Anh, khong co tieng Trung hay dich hinh anh."
fb_0072,the-powerpoint-er,bug,"Tài slide vừa gen xong, nhưng không thể edit file được",False,none,,Khong ro user khong sua duoc o dau; doc khong mo ta loi nay.
fb_0073,the-powerpoint-er,bug,"Lỗi font chữ tiếng việt, nên có lựa chọn font chữ, hoặc font chữ mặc định nên tốt hơn",False,none,,"Loi font tieng Viet la bug, doc khong co lua chon font."
fb_0074,the-powerpoint-er,new_feature,Có add được nhiều file tham khảo không nhỉ?,False,none,,A/B bất đồng. 'upload reference files' không khẳng định NHIỀU file cùng lúc (fb_0057 báo ngược lại) ⇒ lưỡng lự ⇒ False.
fb_0075,the-summarizer,new_feature,Báo lỗi Filename contains disallowed characters or patterns nhưng không báo cụ thể disallowed character or pattern là gì để đặt lại. …,False,none,,Doc khong de cap quy tac dat ten file hay thong bao loi nay.
fb_0076,the-brainstormer,new_feature,"chưa hỗ trợ xuất kết quả ra file excel, như hiện tại mình phải cop ra copilot nhờ xuất excel giúp",False,none,,"Doc chi neu export .xmind va copy markdown, khong noi gi ve excel."
fb_0079,the-powerpoint-er,new_feature,dề xuất cho nhiều hơn 4000 ký tự để yêu cầu chi tiết hơn. bên cạnh đó Tài chỉ làm tốt lần đầu và yêu cầu chỉnh sửa thì tài làm chưa tốt,False,none,,Doc khong de cap gioi han 4000 ky tu cua brief.
fb_0081,the-powerpoint-er,new_feature,tôi nghĩ cần đưa thêm hình ảnh tượng trưng thì slide sẽ đẹp va 2chuey6n nghiệp hơn. và bạn vui lo2mng báo sát vào nội dung tôi đã gửi,False,limitation,Image insertion is not supported — slides contain text and vector graphics only,Doc ghi ro khong ho tro chen hinh anh vao slide.
fb_0082,the-translator,bug,"khả năng dịch PDF không ổn, sai nội dung còn chèn cả code trong quá trình dịch",False,none,,"Dich PDF sai noi dung va chen code la loi, doc khong de cap."
fb_0083,tai,new_feature,hiện tại TÀI chưa có công cụ để xuất file Word (.docx) copy ra text không hoàn thiện,False,none,,Doc TAI khong neu cong cu xuat .docx cung khong ghi day la han che.
fb_0084,the-imaginator,new_feature,Thêm ảnh tham chiếu (reference) giống Figma Wave được không ạ,True,how_to,"If you want to use an image as a reference, drag the Image Input node from the left panel onto the canvas, upload an image (PNG/JPG, up to 10 MB), then connect it to the Generate node.",Tinh nang anh tham chieu da co qua node Image Input noi vao Generate.
fb_0086,the-summarizer,new_feature,nên bổ sung định dạng audio/ video,False,limitation,"- PDF (.pdf)
- Word (.docx)
- PowerPoint (.pptx)
- Plain Text (.txt)","Doc chi liet ke PDF/DOCX/PPTX/TXT, khong ho tro audio/video."
fb_0088,the-translator,bug,Bản dịch bị lỗi font từ trang 3,False,none,,"Loi font tu trang 3 la bug, doc khong de cap."
fb_0089,the-powerpoint-er,bug,lỗi liên tục,False,none,,"Bao loi lien tuc, doc khong de cap."
fb_0090,the-powerpoint-er,new_feature,"TĂNG FONT SIZE LÊN, CHỮ BÉ LẮM",True,how_to,"The top bar provides quick editing actions, including adjusting font size, text color, formatting, alignment, and adding bullet points to the content.",Doc cho phep tang co chu qua thanh cong cu chinh sua slide.
fb_0091,the-summarizer,new_feature,"Bổ sung tính năng so sánh, phát hiện điểm khác biệt giữa các văn bản (ví dụ thông tư/văn bản mới cập nhật nội dung gì so với văn bả…",False,none,,"Doc chi noi tom tat gop nhieu tai lieu, khong co tinh nang so sanh khac biet."
fb_0093,the-powerpoint-er,new_feature,ở mục slide bên trái tạo thêm nút xóa slide sau khi thấy thừa,True,how_to,You can edit: - Slide titles (click to edit) - Bullet points (click to edit) - Add/remove bullets (+ Add bullet / × to remove) - Add/remove slides (+ Add slide / Remove),Doc cho phep them/xoa slide ngay o buoc review outline (+ Add slide / Remove).
fb_0094,the-brainstormer,bug,"Đang brainstorm dở, muốn vào lại để brainstorm tiếp thì lại bị session expired, ko vào lại được",False,limitation,"- Long-term memory stores preferences only (language, tone, topics), not full chat history
- Each session is independent — the AI doesn't recall previous session content",Doc ghi ro moi session doc lap va khong luu lich su chat nen khong vao lai duoc phien cu.
fb_0096,the-powerpoint-er,bug,nút generate outline không hoạt đông,False,none,,"Nut generate outline khong hoat dong la loi, doc khong de cap."
fb_0097,the-brainstormer,new_feature,"Add a function to add files such as docx, pptx, pdf, images to get more context to have a better brainstorming tasks",False,limitation,No file upload support — text-based interaction only,Doc ghi ro khong ho tro upload file (docx/pptx/pdf/anh).
fb_0100,the-powerpoint-er,new_feature,Bổ sung tính năng cho download từng trang slide và cho quay trở về version trước của trang slide.,False,none,,Doc co Regenerate from outline nhung khong ho tro download tung trang slide nen chua du.
fb_0103,the-powerpoint-er,bug,"Export ra file pptx bị vỡ font chữ, không đẹp như preview",False,none,,"Vo font khi export la loi, doc khong de cap."
fb_0107,tai,new_feature,Cần phiên bản tiếng việt,True,how_to,"| Language follows your prompt | The EN/VI toggle changes UI only, not response language |",'Cần phiên bản tiếng Việt' — toggle EN/VI cho UI đã có; ngôn ngữ trả lời theo prompt ⇒ True.
fb_0109,the-translator,bug,Dịch file gồm cả bảng biểu có thể bị lỗi và báo network error,False,none,,"Network error khi dich file co bang bieu la loi, doc khong de cap."
fb_0110,the-powerpoint-er,bug,Font chữ của slide bị lỗi,False,none,,"Loi font slide la bug, doc khong de cap."
fb_0111,the-powerpoint-er,bug,LLM: LLM: structured output failed: No JSON found after all strategies: line 1 column 1 (char 0),False,none,,Loi structured output failed khong duoc doc mo ta.
fb_0112,the-powerpoint-er,new_feature,"Cần xuất chart dạng định dạng chart trong pptx, hiện tại Tài xuất định dạng ảnh không chỉnh sửa được",False,limitation,Layouts depend on bundled templates — no custom animations or complex charts,Doc ghi ro khong ho tro chart phuc tap trong slide.
fb_0113,the-brainstormer,bug,Chưa muốn kết thúc luồng brainstorm nhưng session đã complete và ko mở lại được,False,limitation,"- A green ""✓ Session complete — canvas is ready"" message appears
- The input bar is replaced with a ""New session"" button","Doc mo ta khi session complete thi o nhap bi thay bang nut New session, khong co cach mo lai de tiep tuc."
fb_0114,the-summarizer,new_feature,Nội dung tóm tắt quá ngắn > có thể bổ sung thêm phần input số ký tự/độ dài của tóm tắt,False,none,,Doc khong co tuy chon do dai/so ky tu cua ban tom tat.
fb_0116,the-translator,bug,"Hệ thống không dịch được file, chỉ chạy được 1 lúc rồi báo network error",False,none,,"Network error giua chung la loi, doc khong de cap."
fb_0124,the-powerpoint-er,bug,"Màn hình khi đưa yêu cầu edit rất khó sử dụng, button send feedback che mất phần option chọn chỉ nhìn thấy cancel, vì cảm giác kh…",False,none,,Loi UI nut Send Feedback che option khong duoc doc mo ta.
fb_0125,tai-studio,new_feature,The powerpoint-er cần bổ sung năng lực tiếp nhận ý kiến phản hồi và yêu cầu hoàn thiện/ bổ sung của người dùng và re-generate sli…,False,none,,"Doc GenUI chi nhac 'Edit slides in chat' trong mot o bang, khong du de khang dinh co vong feedback va re-generate."
fb_0127,the-translator,bug,"tôi muốn dịch cả văn bản, mà Tài chỉ dịch cho tôi mỗi tiêu đề",False,limitation,"If a document is too large, it may be truncated — a warning banner will indicate how many characters were translated.",Doc neu tai lieu qua lon co the bi cat bot nhung khong co cach de dich toan bo van ban.
fb_0129,the-translator,bug,Tại sao bàn dịch ra tiếng Việt vẫm là tiếng anh,False,none,,"Ban dich van ra tieng Anh la loi, doc khong mo ta."
fb_0133,tai-studio,new_feature,"Home page: the Featured cards should be larger (The summarizer, The Brainstormer, etc.)",False,none,,Doc khong noi ve kich thuoc the Featured tren home page.
fb_0134,the-powerpoint-er,new_feature,I have lot of charts and visualize want to input into the slide but it's not available that option that yet,False,limitation,Image insertion is not supported — slides contain text and vector graphics only,Doc ghi ro khong ho tro chen hinh anh/visual vao slide.
fb_0137,the-powerpoint-er,new_feature,Cho phép thao tác paste ảnh nội dung cần thiết kế slide để thao tác nhanh hơn (giống copilot),False,limitation,Image insertion is not supported — slides contain text and vector graphics only,A/B bất đồng về match_type. Paste ảnh làm input slide ⇔ limitation 'Image insertion is not supported' ⇒ limitation (theo B).
fb_0139,the-brainstormer,new_feature,ko cung cấp dưới dạng bảng được,False,none,,Doc khong de cap dinh dang bang trong output canvas.
fb_0140,the-brainstormer,bug,"trường hợp typing nhiều dòng trong ô chat thì không thể lăn chuột để xem các dòng đã nhập, thay vào đó phải dùng nút trỏ lên/ xuốn…",False,none,,Loi khong cuon duoc o nhap nhieu dong khong duoc doc mo ta.
fb_0141,the-brainstormer,new_feature,"anh/ chị cho thêm tính năng gửi hình ảnh để trao đổi thông tin cho đỡ phải brief lại thông tin bằng các nhập, từ đó rút ngắn thời gian t…",False,limitation,No file upload support — text-based interaction only,Doc ghi ro khong ho tro upload file/hinh anh.
fb_0142,the-translator,bug,Vẫn có trang chưa được dịch,False,none,,"Van con trang chua duoc dich la loi, doc khong mo ta."
fb_0143,the-powerpoint-er,new_feature,It's should be more picture about techcombank on all slide,False,limitation,Image insertion is not supported — slides contain text and vector graphics only,Doc ghi ro khong ho tro chen hinh anh vao slide.
fb_0144,tai,bug,"KHi dịch từ tiếng Anh sang tiếng Việt, có những từ không phải từ chuyên ngành hoặc danh từ riêng nhưng vẫn không dduwocj chuy…",False,none,,Loi dich thieu tu khong duoc doc TAI mo ta.
fb_0145,the-powerpoint-er,new_feature,"an interactive loop of Human feedback and agent fix. Ngoài ra, slide design chưa ổn về layout, text arrangement (overlap), size of tex…",False,limitation,"During slide editing, only inline content updates are supported. Adding new text boxes or repositioning existing elements is not available",A/B bất đồng về match_type. Nửa sau đòi sửa layout/overlap — doc ghi rõ không reposition được ⇒ limitation (theo B).
fb_0146,the-powerpoint-er,new_feature,Có thể kết hợp powerpointer với translator được không?,False,none,,Doc Powerpoint-er khong noi ve viec ket hop voi Translator.
fb_0147,the-powerpoint-er,bug,Lỗi font tiếng Việt,False,none,,"Loi font tieng Viet la bug, doc khong de cap."
fb_0148,the-translator,bug,"why it was blocked by guardrail????guardrail blocked (input): The input contains a reference to 'Anthropic, PBC' in option D, which is …",False,none,,Guardrail chan input khong duoc doc Translator mo ta.
fb_0149,the-translator,bug,hiện tại đang ko dịch được.,False,none,,"Khong dich duoc, doc khong de cap."
fb_0152,the-canvas-designer,new_feature,Chữ và icon trên màn hình quá nhỏ các sếp ơi,False,none,,Khong co tai lieu cho the-canvas-designer.
fb_0153,the-ai-visionary,new_feature,Agent chưa lưu lịch sử các lần trò chuyện trước.,False,none,,Doc AI Visionary khong co tinh nang luu lich su hoi thoai va cung khong ghi day la han che.
fb_0154,the-summarizer,bug,"Upload file docx, trong file có capture hình ảnh chưa thông tin -> Không đọc được nội dung file.",False,none,,Doc khong de cap doc noi dung anh chup chen trong file docx.
fb_0156,tai,bug,"Trà kết quả xong tự crash => I'm sorry, I can't help with that. Let me know if there's something else I can assist you with.",False,none,,"Crash/guardrail xoa ket qua la loi, doc khong de cap."
fb_0157,the-summarizer,bug,The Summarizer: Chuyển từ tiếng Anh sáng Việt ok nhưng sau đó chuyển từ Việt sang tiếng Anh chưa work.,False,none,,Doc co hien ket qua song ngu nhung khong mo ta loi chieu Viet sang Anh.
fb_0158,the-summarizer,new_feature,Nên tách chuyển nút Summarize lên box Drop files. Hiện đa... người dùng phải tự Delete …,False,none,,"Doc mo ta nut Summarize nam duoi dropzone, khong de cap de xuat doi vi tri."
fb_0159,the-summarizer,new_feature,Nên tích hợp tính năng tạo Slide với nội dung sau khi summar…,False,none,,Doc Summarizer khong co tinh nang tao slide tu ban tom tat.
fb_0160,tai,bug,- Bug: Dịch file chứa PII vẫn hiển thị nút tải nhưng không tải được…,False,none,,"Nut tai hien nhung khong tai duoc la loi, doc khong de cap."
fb_0163,the-translator,bug,"Lỗi translate khi có câu ""Share some of the design patterns we've seen from the trenches and requirements they have…",False,none,,Loi dich voi cau cu the khong duoc doc mo ta.
fb_0165,the-powerpoint-er,bug,"khi đi đến bước xem Outline mà chưa ưng ý, muốn quay lại bước brief để sửa prompt, thì ấn nút back (ở góc trái phía trên) thì lại đi…",False,none,,Doc khong mo ta cach quay lai buoc brief tu man hinh outline.
fb_0166,the-summarizer,bug,cái summarizer này đang bịa ra MIK mà trong khi ko có MIK mà là Masterise,False,none,,"Bia thong tin la loi chat luong, doc Summarizer khong de cap."
fb_0167,the-translator,bug,"đã dịch xong văn bản đầu, mới có 2 tragn thôi",False,none,,"Noi dung bi cat cut, khong du can cu doi chieu voi doc."
fb_0168,the-powerpoint-er,new_feature,"- Cho phép upload file excel dữ liệu, từ dữ liệu thô define insights để làm báo cáo tự động dựa trên dữ liệu…",False,none,,Doc khong de cap upload file excel de tu dong dinh nghia insight.
fb_0171,the-translator,new_feature,"các thông tin như chức danh, bộ phận nên được chuẩn hóa theo bộ của HR, ví dụ: SENIOR SPECIALIST --> SENIOR EXPERT, bộ p…",False,none,,A/B bất đồng về match_type. Chuẩn hoá chức danh theo bộ HR ≠ 'domain-specific terminology may need human review' ⇒ none (theo B).
fb_0173,tai,bug,"The guardrail seems to trigger quite late. Chat was showing me the document summary and then in the end, it clears the respons…",False,none,,"Guardrail xoa ket qua muon la loi, doc TAI khong de cap."
fb_0175,the-powerpoint-er,bug,received a failed to parse the file error when uploading a PPTX file,False,none,,Loi parse file PPTX khi upload khong duoc doc mo ta.
fb_0176,tai-studio,bug,@ box doesnt contain and resize,False,none,,Loi hien thi/resize o @ mention khong duoc doc mo ta.
fb_0181,the-canvas-designer,bug,Ko mở đc Graphics designer.,False,none,,Khong co tai lieu cho the-canvas-designer.
fb_0184,the-translator,bug,Tôi upload file word 203 kb để dịch từ tiếng Anh sang tiếng Việt nhưng gặp lỗi Translation request failed (502),False,none,,"Loi 502 khi dich la bug, doc khong de cap."
fb_0185,the-brainstormer,bug,coundn't acess,False,none,,"Loi khong truy cap duoc, doc khong de cap."
fb_0188,the-powerpoint-er,new_feature,Đang dùng format slide cũ TCB 30 năm ( nên cập nhật theme mới nhất)…,False,limitation,Adding templates directly is not available; full requirements must be clearly described in text,Doc ghi ro khong the tu them template nen khong the doi sang theme moi.
fb_0189,the-summarizer,new_feature,"I need to summary in to 10 pages of word for example, please give room for user to give further instruction",False,none,,Doc khong cho phep nhap them huong dan/do dai cho ban tom tat.
fb_0190,tai,new_feature,"Tài Studio cần bổ sung nơi lưu trữ những sản phẩm Tài Studio đã tạo ra. Ví dụ khi tôi tạo ra các slide xong, xuất xong thì những slide…",False,none,,"Doc TAI chi noi luu lich su hoi thoai, khong co noi luu san pham da tao."
fb_0191,the-powerpoint-er,bug,lỗi truy cập k vào đc,False,none,,"Loi truy cap, doc khong de cap."
